,B_mag,Proton_Temp,Proton_dens,Plasma_speed,AP_ratio,Flow_pres,E,Alfven_MN,Kp,R,DST,AE_index,Proton_flux1,Proton_flux2,Proton_flux4,Proton_flux10,Proton_flux30,Proton_flux60,Ap,PC_index,AL_index,AU_index,Mag_MN
1964.001,5.9,106557.2,30.7,328.0,0.04,6.82,-1.46,11.8,17.0,0.0,11.0,48.0,105.72,51.17,21.27,7.53,2.19,1.07,6.0,1.07,-126.64,78.34,5.64
1964.004,6.15,106557.2,20.78,416.72,0.04,6.06,-0.45,10.45,32.04,10.53,-15.06,235.97,105.72,51.17,21.27,7.53,2.19,1.07,29.56,1.07,-126.64,78.34,5.64
1964.007,5.13,106557.2,15.26,444.28,0.04,4.75,-0.23,10.93,33.7,11.02,-20.74,222.24,105.72,51.17,21.27,7.53,2.19,1.07,26.69,1.07,-126.64,78.34,5.64
1964.01,4.67,106557.2,12.47,456.3,0.04,4.07,0.04,11.03,33.52,11.01,-21.81,207.57,105.72,51.17,21.27,7.53,2.19,1.07,24.75,1.07,-126.64,78.34,5.64
1964.0120000000002,4.15,106557.2,10.88,439.88,0.04,3.51,0.12,11.18,30.79,12.63,-21.24,186.45,105.72,51.17,21.27,7.53,2.19,1.07,21.37,1.07,-126.64,78.34,5.64
1964.015,3.8,106557.2,9.92,428.09,0.04,3.16,0.16,11.4,27.79,14.72,-20.36,165.62,105.72,51.17,21.27,7.53,2.19,1.07,18.61,1.07,-126.64,78.34,5.64
1964.0179999999998,3.72,106557.2,9.88,412.27,0.04,2.99,0.22,11.14,26.22,16.79,-19.15,160.6,105.72,51.17,21.27,7.53,2.19,1.07,16.92,1.07,-126.64,78.34,5.64
1964.02,3.59,106557.2,9.99,395.32,0.04,2.84,0.2,10.88,24.54,17.7,-17.35,150.98,105.72,51.17,21.27,7.53,2.19,1.07,15.53,1.07,-126.64,78.34,5.64
1964.023,3.6,106557.2,10.3,406.05,0.04,3.19,0.18,11.16,25.5,17.85,-16.06,156.54,105.72,51.17,21.27,7.53,2.19,1.07,16.04,1.07,-126.64,78.34,5.64
1964.026,3.51,106557.2,9.91,416.68,0.04,3.23,0.18,11.23,26.27,18.28,-15.65,155.77,105.72,51.17,21.27,7.53,2.19,1.07,16.55,1.07,-126.64,78.34,5.64
1964.029,3.41,106557.2,9.47,418.76,0.04,3.12,0.17,11.41,25.68,19.18,-15.21,149.45,105.72,51.17,21.27,7.53,2.19,1.07,15.75,1.07,-126.64,78.34,5.64
1964.031,3.31,106557.2,9.2,410.13,0.04,2.96,0.14,11.53,24.6,20.02,-14.68,141.19,105.72,51.17,21.27,7.53,2.19,1.07,14.92,1.07,-126.64,78.34,5.64
1964.0339999999999,3.31,106557.2,9.02,401.24,0.04,2.82,0.14,11.53,23.68,21.53,-13.99,133.57,105.72,51.17,21.27,7.53,2.19,1.07,14.21,1.07,-126.64,78.34,5.64
1964.037,3.31,106557.2,9.06,389.94,0.04,2.7,0.14,11.53,22.15,22.52,-13.18,125.71,105.72,51.17,21.27,7.53,2.19,1.07,13.24,1.07,-126.64,78.34,5.64
1964.04,3.31,106557.2,10.13,377.66,0.04,2.67,0.14,11.53,20.83,23.17,-12.0,119.24,105.72,51.17,21.27,7.53,2.19,1.07,12.46,1.07,-126.64,78.34,5.64
1964.0420000000001,3.31,106557.2,13.39,373.53,0.04,3.24,0.14,11.53,21.88,23.23,-11.87,128.05,105.72,51.17,21.27,7.53,2.19,1.07,13.4,1.07,-126.64,78.34,5.64
1964.045,3.45,106557.2,12.98,374.35,0.04,3.17,0.13,11.25,22.38,23.58,-12.24,128.35,105.72,51.17,21.27,7.53,2.19,1.07,13.62,1.07,-126.64,78.34,5.64
1964.0479999999998,3.6,106557.2,12.67,374.33,0.04,3.11,0.14,11.02,22.07,22.85,-12.23,125.14,105.72,51.17,21.27,7.53,2.19,1.07,13.24,1.07,-126.64,78.34,5.64
1964.0510000000002,3.73,106557.2,12.4,372.66,0.04,3.04,0.15,10.73,21.57,22.75,-12.0,122.93,105.72,51.17,21.27,7.53,2.19,1.07,12.9,1.07,-126.64,78.34,5.64
1964.0529999999999,3.91,106557.2,12.33,370.17,0.04,3.0,0.18,10.53,21.33,22.45,-11.68,119.64,105.72,51.17,21.27,7.53,2.19,1.07,12.53,1.07,-126.64,78.34,5.64
