"year";"month";"day";"decimal";"ssn";"sd";"n";"m"
1964;01;01;1964.001;   0;  0.0;   1;1
1964;01;02;1964.004;  21;  3.1;   1;1
1964;01;03;1964.007;  12;  2.4;   1;1
1964;01;04;1964.010;  11;  2.3;   1;1
1964;01;05;1964.012;  19;  3.0;   1;1
1964;01;06;1964.015;  25;  3.4;   1;1
1964;01;07;1964.018;  29;  3.7;   1;1
1964;01;08;1964.020;  24;  3.3;   1;1
1964;01;09;1964.023;  19;  3.0;   1;1
1964;01;10;1964.026;  22;  3.2;   1;1
1964;01;11;1964.029;  28;  3.6;   1;1
1964;01;12;1964.031;  29;  3.7;   1;1
1964;01;13;1964.034;  39;  4.2;   1;1
1964;01;14;1964.037;  35;  4.0;   1;1
1964;01;15;1964.040;  32;  3.8;   1;1
1964;01;16;1964.042;  24;  3.3;   1;1
1964;01;17;1964.045;  29;  3.7;   1;1
1964;01;18;1964.048;  11;  2.3;   1;1
1964;01;19;1964.051;  21;  3.1;   1;1
1964;01;20;1964.053;  17;  2.8;   1;1
1964;01;21;1964.056;  17;  2.8;   1;1
1964;01;22;1964.059;  17;  2.8;   1;1
1964;01;23;1964.061;  17;  2.8;   1;1
1964;01;24;1964.064;  26;  3.5;   1;1
1964;01;25;1964.067;  25;  3.4;   1;1
1964;01;26;1964.070;  15;  2.7;   1;1
1964;01;27;1964.072;  14;  2.5;   1;1
1964;01;28;1964.075;  35;  4.0;   1;1
1964;01;29;1964.078;  39;  4.2;   1;1
1964;01;30;1964.081;  32;  3.8;   1;1
1964;01;31;1964.083;  17;  2.8;   1;1
1964;02;01;1964.086;   0;  0.0;   1;1
1964;02;02;1964.089;   0;  0.0;   1;1
1964;02;03;1964.092;   0;  0.0;   1;1
1964;02;04;1964.094;   0;  0.0;   1;1
1964;02;05;1964.097;   0;  0.0;   1;1
1964;02;06;1964.100;   0;  0.0;   1;1
1964;02;07;1964.102;  15;  2.7;   1;1
1964;02;08;1964.105;  19;  3.0;   1;1
1964;02;09;1964.108;  26;  3.5;   1;1
1964;02;10;1964.111;  14;  2.5;   1;1
